x,y,r
504160.0,124460.0,9.1415
504210.0,125510.0,8.9804
504220.0,129470.0,8.8939
504270.0,127340.0,8.8129
504280.0,128140.0,8.839
504280.0,124760.0,9.105
504290.0,126560.0,8.8059
504320.0,130340.0,8.9134
504330.0,128960.0,8.8591
504340.0,125810.0,8.9331
504410.0,125060.0,9.0617
504420.0,129810.0,8.8946
504430.0,127650.0,8.8188
504440.0,126870.0,8.7948
504460.0,128450.0,8.8358
504460.0,131220.0,8.9526
504480.0,126110.0,8.8817
504500.0,124320.0,9.1249
504530.0,129290.0,8.8653
504540.0,130680.0,8.9199
504540.0,125360.0,9.0187
504590.0,127170.0,8.795
504600.0,127960.0,8.822000000000001
504620.0,124620.0,9.0992
504620.0,126400.0,8.8339
504630.0,130140.0,8.8989
504650.0,128780.0,8.834
504670.0,125660.0,8.975
504690.0,131560.0,8.9545
504730.0,129610.0,8.8698
504740.0,124920.0,9.059
504750.0,127480.0,8.7998
504760.0,131020.0,8.9224
504770.0,126700.0,8.8029
504780.0,128270.0,8.8224
504810.0,125950.0,8.9263
504840.0,129100.0,8.8364
504850.0,130480.0,8.9036
504870.0,132460.0,8.9478
504870.0,125210.0,9.0215
504920.0,127780.0,8.807
504920.0,127000.0,8.792
504930.0,131910.0,8.9414
504940.0,129940.0,8.8748
504950.0,126250.0,8.8726
504960.0,124480.0,9.0775
504960.0,128590.0,8.821
504990.0,131360.0,8.9206
505000.0,125500.0,8.9882
505040.0,129420.0,8.8384
505060.0,133360.0,8.953
505070.0,130810.0,8.9032
505080.0,127300.0,8.7916
505080.0,124770.0,9.0494
505090.0,126540.0,8.826
505100.0,128090.0,8.8121
505110.0,132810.0,8.9444
505140.0,125790.0,8.9507
505150.0,128910.0,8.8194
505150.0,130270.0,8.878
505170.0,132250.0,8.9243
505210.0,125060.0,9.0115
505230.0,131700.0,8.9162
505240.0,126830.0,8.8
505240.0,127600.0,8.7945
505250.0,129740.0,8.8416
505280.0,128400.0,8.8128
505280.0,126080.0,8.9057
505300.0,131150.0,8.899
505310.0,133710.0,8.9504
505340.0,125350.0,8.9818
505350.0,129220.0,8.8173
505360.0,133150.0,8.9299
505370.0,130600.0,8.8772
505400.0,127130.0,8.7931
505410.0,132590.0,8.9113
505410.0,127910.0,8.7999
505420.0,126370.0,8.8605
505430.0,124620.0,9.045
505460.0,130070.0,8.8458
505470.0,128710.0,8.8113
505470.0,132030.0,8.9057
505470.0,125630.0,8.9553
505530.0,131480.0,8.8929
505550.0,124910.0,9.02
505560.0,127420.0,8.7938
505560.0,129540.0,8.8181
505570.0,126660.0,8.8264
505570.0,134060.0,8.9429
505590.0,128210.0,8.804
505600.0,130930.0,8.8734
505610.0,133490.0,8.9145
505610.0,125920.0,8.9285
505660.0,132930.0,8.9001
505660.0,129030.0,8.8092
505680.0,130390.0,8.8473
505680.0,125190.0,8.9867
505720.0,132370.0,8.8936
505730.0,126950.0,8.8095
505730.0,127720.0,8.7956
505760.0,126200.0,8.9003
505770.0,131810.0,8.8851
505770.0,129860.0,8.8217
505780.0,128520.0,8.805
505810.0,125470.0,8.9617
505830.0,134400.0,8.9318
505840.0,131260.0,8.8674
505860.0,129340.0,8.8085
505870.0,133830.0,8.9018
505890.0,127240.0,8.8032
505900.0,126490.0,8.8734
505910.0,128020.0,8.7982
505910.0,130720.0,8.8466
505910.0,133270.0,8.8885
505950.0,125750.0,8.9441
505960.0,132700.0,8.8818
505970.0,128830.0,8.8043
505990.0,130180.0,8.8247
506020.0,132150.0,8.8746
506060.0,126770.0,8.8521
506060.0,127530.0,8.8009
506080.0,129650.0,8.8099
506080.0,131590.0,8.8612
506090.0,126030.0,8.9292
506100.0,134750.0,8.9191
506100.0,128320.0,8.7995
506130.0,134170.0,8.8914
506140.0,131040.0,8.8433
506170.0,133600.0,8.8789
506180.0,129130.0,8.8032
506210.0,133040.0,8.8705
506210.0,130500.0,8.8255
506220.0,127050.0,8.8366
506230.0,127830.0,8.8008
506240.0,126310.0,8.9142
506270.0,132480.0,8.8632
506290.0,129970.0,8.8117
506290.0,128620.0,8.7991
506320.0,131920.0,8.8519
506370.0,135090.0,8.9052
506380.0,129440.0,8.8024
506380.0,127340.0,8.8248
506380.0,131370.0,8.8381
506390.0,134520.0,8.8808
506390.0,126580.0,8.8984
506410.0,128120.0,8.8007
506430.0,133940.0,8.8706
506440.0,130820.0,8.8242
506470.0,133370.0,8.8619
506490.0,128930.0,8.7975
506520.0,132810.0,8.8536
506520.0,130280.0,8.8121
506550.0,126860.0,8.8773
506560.0,127630.0,8.8165
506570.0,132250.0,8.8418
506600.0,128420.0,8.7998
506600.0,129750.0,8.8025
506620.0,131690.0,8.8302
506640.0,135440.0,8.8938
506660.0,134860.0,8.8679
506680.0,131140.0,8.8199
506690.0,134280.0,8.8616
506690.0,129230.0,8.7954
506710.0,127140.0,8.8575
506730.0,133710.0,8.8548
